frequency_GHz,detuning_GHz,field_entanglement,field_coherence,energy_transfer,performance
4.000000,-1.000000,0.104811-0.000000j,0.700818,0.590574,0.174893-0.000000j
4.142857,-0.857143,0.104272+0.000000j,0.700571,0.589286,0.174330+0.000000j
4.285714,-0.714286,0.104573-0.000000j,0.701264,0.588957,0.174699-0.000000j
4.428571,-0.571429,0.102924-0.000000j,0.700676,0.584642,0.172991-0.000000j
4.571429,-0.428571,0.100711+0.000000j,0.699725,0.579223,0.170684+0.000000j
4.714286,-0.285714,0.090896-0.000000j,0.693884,0.564371,0.160284-0.000000j
4.857143,-0.142857,0.060135-0.000000j,0.649236,0.536667,0.125059-0.000000j
5.000000,0.000000,0.110261+0.000000j,0.704124,0.603378,0.180673+0.000000j
5.142857,0.142857,0.082716+0.000000j,0.663573,0.668733,0.149074+0.000000j
5.285714,0.285714,0.095777-0.000000j,0.682661,0.634954,0.164043-0.000000j
5.428571,0.428571,0.102552+0.000000j,0.691178,0.618635,0.171670+0.000000j
5.571429,0.571429,0.104708+0.000000j,0.693990,0.612126,0.174107+0.000000j
5.714286,0.714286,0.105424+0.000000j,0.695139,0.607576,0.174938+0.000000j
5.857143,0.857143,0.105965+0.000000j,0.696035,0.606979,0.175568+0.000000j
6.000000,1.000000,0.106073-0.000000j,0.696253,0.605627,0.175698-0.000000j
